,,,,,,,
,PACK,BLUE,GREEN,YELLOW,ORANGE,RED,TOTAL
,211,2,1,1,1,1,6
,212,3,1,1,0,1,6
,213,2,2,0,1,1,6
,214,3,2,0,1,0,6
,215,3,1,1,0,1,6
,216,0,1,2,1,2,6
,217,2,0,2,1,1,6
,218,4,0,1,1,0,6
,219,0,1,1,1,3,6
,220,1,3,0,1,1,6
,221,1,1,4,0,2,8
,222,1,2,1,0,2,6
,223,2,2,0,1,1,6
,224,1,0,3,0,2,6
,225,5,0,1,0,0,6
,226,1,1,1,0,3,6
,227,4,1,0,0,2,7
,228,2,1,1,2,0,6
,229,2,1,2,1,1,7
,230,0,0,2,1,3,6
,231,0,0,0,1,5,6
,232,1,1,3,1,0,6
,233,1,1,0,1,3,6
,234,3,0,1,1,1,6
,235,0,1,3,2,1,7
,236,1,2,0,3,2,8
,237,2,0,0,3,1,6
,238,1,1,1,2,1,6
,239,3,1,0,1,1,6
,240,0,0,0,3,3,6
,241,3,0,0,3,0,6
,242,1,1,0,2,2,6
,243,3,1,0,1,1,6
,244,0,1,3,0,2,6
,245,0,1,1,3,2,7
,246,1,1,2,2,0,6
,247,1,0,2,1,2,6
,248,1,1,1,1,2,6
,249,2,0,2,1,1,6
,250,3,1,1,0,1,6
,251,0,0,1,0,5,6
,252,1,0,1,0,4,6
,253,1,0,2,0,3,6
,254,4,0,0,2,0,6
,255,0,1,2,2,3,8
,256,1,3,1,0,1,6
,257,2,2,0,2,0,6
,258,0,1,2,0,3,6
,259,1,1,0,1,3,6
,260,2,2,0,0,3,7
,261,1,3,0,1,1,6
,262,1,0,3,2,0,6
,263,1,2,1,0,2,6
,264,1,0,1,3,1,6
,265,1,1,2,2,0,6
,266,2,0,2,0,2,6
,267,4,1,0,1,0,6
,268,1,3,0,1,1,6
,269,3,1,0,1,1,6
,270,3,0,1,1,3,8
,271,2,3,1,0,1,7
,272,1,1,1,3,2,8
,273,2,2,1,1,0,6
,274,1,1,2,1,1,6
,275,2,0,2,0,2,6
,276,2,0,1,1,2,6
,277,2,1,1,1,1,6
,278,3,2,1,0,0,6
,279,2,2,1,0,1,6
,280,1,1,1,1,2,6
,281,1,0,3,1,1,6
,282,2,1,0,3,0,6
,283,1,1,1,2,1,6
,284,3,0,1,2,0,6
,285,3,1,0,0,2,6
,286,2,2,2,0,0,6
,287,3,1,0,1,1,6
,288,2,1,1,2,0,6
,289,1,1,0,1,3,6
,290,1,1,2,0,2,6
,291,5,0,0,2,0,7
,292,1,1,2,0,2,6
,293,0,2,1,2,3,8
,294,1,1,1,0,3,6
,295,2,1,0,2,1,6
,296,1,2,2,0,1,6
,297,1,1,0,1,3,6
,298,2,2,0,0,2,6
,299,1,3,0,1,2,7
,300,3,0,0,1,4,8
,301,3,1,1,0,1,6
,302,2,0,3,1,0,6
,303,3,2,1,0,0,6
,304,2,0,1,2,1,6
,305,3,0,0,0,3,6
,306,0,1,2,1,2,6
,307,2,3,0,0,1,6
,308,1,0,1,1,3,6
,309,4,0,1,1,1,7
,310,1,0,2,0,3,6
,311,3,1,0,1,1,6
,312,2,1,1,2,0,6
,313,1,0,1,1,3,6
,314,1,3,1,0,1,6
,315,2,2,2,0,0,6
,316,4,0,0,1,1,6
,317,0,2,0,2,3,7
,318,3,1,0,2,1,7
,319,2,1,2,0,1,6
,320,1,0,2,0,3,6
,321,1,1,0,2,2,6
,322,2,1,1,0,2,6
,323,1,3,1,3,0,8
,324,0,2,3,1,0,6
,325,0,0,3,1,2,6
,326,2,0,1,2,1,6
,327,1,0,1,0,4,6
,328,1,0,2,0,3,6
,329,2,1,1,0,2,6
,330,0,2,3,0,1,6
,331,0,2,1,0,3,6
,332,2,1,1,2,0,6
,333,3,0,1,1,1,6
,334,2,1,2,0,2,7
,335,2,0,2,1,1,6
,336,3,0,0,1,2,6
,337,1,1,2,1,1,6
,338,5,0,1,0,1,7
,339,2,0,0,1,3,6
,340,1,1,1,0,3,6
,341,0,1,2,1,2,6
,342,1,1,1,2,1,6
,343,0,3,1,1,2,7
,344,3,1,0,1,1,6
,345,2,0,1,2,1,6
,346,3,1,0,0,2,6
,347,2,2,1,0,1,6
,348,1,1,1,0,3,6
,349,1,1,1,0,3,6
,350,0,2,1,1,3,7
,351,1,1,1,1,2,6
,352,0,1,1,4,1,7
,353,1,0,2,1,2,6
,354,2,3,0,0,2,7
,355,1,0,2,1,2,6
,356,4,2,0,0,0,6
,357,1,0,2,1,2,6
,358,1,2,0,1,2,6
,359,2,1,0,3,0,6
,360,2,1,1,0,3,7
,361,0,0,2,0,4,6
,362,1,0,2,1,2,6
,363,1,1,1,2,1,6
,364,1,1,1,1,2,6
,365,3,2,0,0,1,6
,366,2,1,1,1,1,6
,367,1,2,2,0,1,6
,368,1,1,1,1,2,6
,369,1,0,2,1,3,7
,370,0,0,0,2,4,6
,371,1,1,1,1,2,6
,372,2,0,2,0,4,8
,373,2,1,1,0,2,6
,374,1,1,2,1,1,6
,375,1,2,2,1,1,7
,376,4,0,1,1,2,8
,377,3,0,0,1,2,6
,378,0,2,1,2,1,6
,379,1,2,0,2,1,6
,380,3,1,1,0,1,6
,381,2,0,0,2,2,6
,382,1,1,0,2,3,7
,383,2,1,1,2,0,6
,384,1,0,1,1,3,6
,385,1,1,3,0,1,6
,386,0,2,1,1,3,7
,387,0,1,3,1,1,6
,388,1,1,1,1,3,7
,389,4,0,1,0,1,6
,390,1,3,1,0,1,6
,391,2,1,2,0,1,6
,392,2,1,0,0,3,6
,393,1,3,0,2,1,7
,394,2,1,1,0,2,6
,395,1,3,0,0,2,6
,396,2,2,0,1,1,6
,397,1,3,0,1,2,7
,398,1,0,1,2,2,6
,399,2,2,1,0,2,7
,400,1,1,1,2,2,7
,Total,636,420,402,378,642,2492
,percentage,25.52%,16.85%,16.13%,15.17%,25.76%,6.23
,,1.589896,,,,,
